No   ID         RANK2018 RATIO2018  RANK2099 RATIO2099
237 24432 335 19.0478 279  20.4045
238 24488 331 18.9987 320  22.8318
239 24536 386 23.2422 393  29.7841
240 24560 563 39.1735 536  45.0892
241 25136 556 38.6992 568  48.1348
242 25152 504 34.1348 507  41.7293
243 25456 553 38.4977 531  44.6634
244 25584 314 17.8219 262  19.2638
245 25680 652 50.2424 640  60.1253
246 25944 603 43.4626 544  45.8328
247 26280 481 30.9388 552  46.5928
248 26296 748 69.9803 789  94.5779
249 26408 457 29.0244 446  35.6277
250 26512 747 69.4060 706  72.0292
251 26560  87  3.8754  85   4.9348
252 26760 452 28.5724 398  30.3776
253 26880 788 86.1880 763  86.1880
254 27008 137  5.9392 131   7.5105
255 27112 471 29.9238 474  37.7787
256 27120  50  1.9986  44   2.1477
257 27360 618 46.9127 647  61.1495
258 27552  51  2.0399  45   2.1938
259 27688 133  5.8282 134   7.9428
260 27696 332 19.0052 353  26.2028
261 27712 507 34.1715 503  41.0241
262 27760 633 48.7205 693  69.4814
263 27784 498 32.7827 461  36.4212
264 28280 542 37.2765 523  44.0192
265 28520 523 35.8786 498  40.7495
266 28824 244 13.4399 561  47.7531
267 28960 134  5.8666 132   7.7338
268 29088 491 31.7528 448  35.8310
269 29232 347 19.8421 288  20.9178
270 29264 517 35.3864 473  37.7061
271 29392 627 47.7182 597  52.1950
272 29432 401 24.2637 374  28.2078
273 29512 200 10.1878 207  13.7024
274 29568 417 25.6736 505  41.3729
275 29592 353 20.2652 344  25.2055
276 29632 576 40.4271 569  48.3602
277 29732 352 20.2562 457  36.2162
278 29760 194  9.8651 179  11.0997
279 30016 394 23.7793 497  40.3939
280 30128 656 51.1607 611  54.3092
281 30280 238 12.7724 223  15.5817
282 30600  62  2.6001  54   2.9625
283 30728 793 89.8122 785  92.9390
284 30896 204 10.3899 192  11.9474
285 31082 101  4.7576  87   5.1095
286 31088 465 29.5253 479  38.4586
287 31192 698 57.1834 670  64.4498
288 31256   7  0.1190   7   0.2239
289 31328 435 27.5620 432  34.1348
290 31656 580 40.9418 547  46.0891
291 32032 322 18.3558 516  42.7377
292 32056 380 22.2665 351  26.1723
293 32080 796 90.3122 787  93.6416
294 32120 581 41.0497 558  47.4964
295 32688 642 49.3973 638  59.4619
296 32936 254 14.3550 220  15.4335
297 33000 103  4.9160 118   6.8343
298 33080 175  8.4331 160   9.7294
299 33088 285 16.1518 271  19.5887
300 33112 122  5.4226 112   6.6178
301 33200 679 54.0134 687  68.2582
302 33216 606 43.9335 668  63.9974
303 33312 324 18.4131 319  22.8237
304 33592 737 67.8035 754  82.6137
305 33744 405 24.6568 450  35.9093
306 34080 489 31.6505 421  33.0101
307 34664 658 51.6079 695  69.7826
308 35224 663 52.3679 715  73.4578
309 35408 661 52.1030 658  63.1665
310 35424 571 40.1659 543  45.6870
311 35488 345 19.6770 290  21.0983
312 35520 395 23.9466 371  27.9772
313 35576 315 17.8489 268  19.5535
314 35608 499 32.8626 487  39.1544
315 35624 449 28.4232 402  30.7096
316 35648 669 53.1699 644  61.0580
317 35896 612 44.8598 619  55.6443
318 35928 278 15.8695 241  17.4354
319 35960 719 62.9577 741  80.4003
320 36160 799 94.2718 797  98.2181
321 36192 648 50.0657 655  62.8051
322 36232 358 20.6091 537  45.1118
323 36288 406 24.7200 423  33.3440
324 36368 560 38.9377 570  48.3910
325 36592 670 53.4254 659  63.2342
326 36616 547 37.9965 512  42.2821
327 36640 792 89.5142 774  90.2970
328 36816  71  3.2023  68   4.0239
329 36888 127  5.6790 121   6.8955
330 36944 176  8.4396 174  10.8016
331 37000  98  4.6567 333  24.1404
332 37192 653 50.2758 630  57.7686
333 37208 269 15.2822 230  16.3087
334 37496 213 10.7610 188  11.8454
335 37640  41  1.5291  39   1.7933
336 37696 513 34.7975 484  39.0432
337 37792 537 37.0682 481  38.7326
338 37955 185  8.9097 171  10.4565
339 38000  44  1.7166  46   2.2349
340 38048 296 17.0789 297  21.3047
341 38096 708 59.0699 719  74.7434
342 38128 745 68.5505 792  96.1251
343 38160 221 11.2770 203  13.0926
344 38200 136  5.9350 127   7.2954
345 38248 470 29.8674 453  36.0705
346 38400 644 49.7449 646  61.1268
347 38640 155  7.0523 349  26.0115
348 38768 429 26.9959 392  29.6574
349 39256 250 13.8501 358  26.7590
350 39352 259 14.6293 330  23.9255
351 39784 802 86.0324 794  86.7436
352 40016 808 89.9403 805  89.9403
353 40040 638 49.0887 594  51.9449
354 40360 721 63.5189 675  65.0604
355 40400 289 16.5196 300  21.7244
356 40656 437 27.6308 417  32.5741
357 40744 681 54.1433 702  71.1207
358 40848 203 10.3744 177  10.9762
