No   ID         RANK2018 RATIO2018  RANK2099 RATIO2099
128 14376  64   2.280992  51   2.50125
129 14520 623  60.255650 592  67.86237
130 14568 670  68.419631 620  72.97014
131 14584 672  68.603504 603  70.79306
132 14600 190  10.714259 159  12.12372
133 14640 725  82.666023 684  83.77868
134 14656 584  54.533231 540  60.88397
135 14800 662  67.120574 662  79.81607
136 15192 431  35.422969 441  46.82541
137 15232  50   1.566709  39   1.77245
138 15384 204  11.991587 183  14.35499
139 15432 486  41.467607 422  43.82532
140 15680 779  86.673133 765  88.66895
141 15744 406  32.310611 377  38.07570
142 15760 531  48.084627 483  52.28024
143 15848 378  28.805895 356  34.05563
144 15872 538  48.558982 499  55.77122
145 15888  22   0.263272  19   0.54301
146 16056  65   2.351636  49   2.44709
147 16080 523  46.776896 491  54.24146
148 16128 285  18.888183 346  32.82950
149 16144 468  39.369483 440  46.78053
150 16256  93   3.968192  85   4.71073
151 16448 659  66.637646 600  69.68687
152 16568 182  10.338532 145  10.85563
153 16848 205  12.015857 252  21.65244
154 16960 268  17.382881 318  30.05666
155 17024 634  61.979774 605  70.88921
156 17136  98   4.484455  86   5.17760
157 17152 476  40.609243 471  50.54086
158 17840 389  29.651531 516  57.93558
159 18000 540  48.745637 647  77.71202
160 18048 179  10.234399 151  11.52570
161 18088 239  14.711169 219  17.98828
162 18136 696  73.260645 676  82.64771
163 18152 312  21.218964 273  23.80102
164 18192 791  90.247487 793 90.99800
165 18272 411  33.137347 448  47.48570
166 18360 707  75.930161 774  99.19706
167 18400 176  10.017816 184  14.62543
168 18496 207  12.109694 176  13.71625
169 18576 666  67.921480 695  86.49830
170 18736 564  52.245415 506  56.96743
171 18888 373  28.375180 350  33.18678
172 18960 141   6.775628 111   7.47308
173 19160 329  23.227372 306  28.23010
174 19208  31   0.554305  41   1.79963
175 19536 380  29.023555 362  34.93141
176 19696 121   5.526829  97   6.68159
177 19752 545  49.660692 580  65.47693
178 19856 360  27.333142 311  28.88887
179 19976 758  91.422733 742  92.90464
180 20144 700  74.312452 715  90.58632
181 20152 311  21.128587 253  21.74844
182 20216 243  15.006423 249  21.18285
183 20240 577  53.393533 614  71.51235
184 20248 765  82.945061 734  84.38185
185 20328 555  51.641587 568  64.52283
186 20352 185  10.370751 154  11.79714
187 20424 264  16.855851 233  19.10896
188 20512 447  37.350691 416  43.15054
189 20528 392  30.409295 335  31.74469
190 20776  62   2.167114  45   2.25419
191 20792 678  69.067472 653  78.65953
192 20840 507  43.578595 535  59.95073
193 20904 400  31.067088 413  42.32007
194 20992 602  56.337620 622  73.31689
195 21200   1   0.000369  29   1.04667
196 21688 122   5.683794 117   7.83408
197 21712 533  48.260453 474  50.91563
198 21752 315  21.415887 323  30.59075
199 21816  94   4.083496 142  10.58867
200 21872 551  51.104561 590  67.33732
201 21968 620  60.015996 668  81.19237
202 21976 750  85.896662 738  84.86596
203 22144  89   3.803158  72   4.00646
204 22264 115   5.299727  98   6.69010
205 22296 763  82.631738 758  87.91219
206 22520 150   7.574786 125   8.23697
207 22576 608  57.859239 577  65.27461
208 22608 300  20.060310 295  27.22562
209 22672 594  55.273890 544  61.63554
210 22712 458  38.421449 478  51.73059
211 22800 719  80.420185 680  83.38475
212 22888 745  87.366018 739  95.42030
213 22960 291  19.346277 267  23.17509
214 22992 553  51.402639 503  56.68569
215 23016 397  30.759089 395  40.28480
216 23152 744  87.029458 714  90.46670
217 23280 512  44.364755 785  99.85388
218 23296 208  12.176042 174  13.56967
219 23304 124   5.894273 467  49.76153
220 23440  25   0.327466  18   0.52274
221 23568 393  30.471536 396  40.66042
222 23584 136   6.537923 126   8.26483
223 23600 732  84.143374 731  93.35139
224 23616 372  28.373497 380  38.32316
225 23768 180  10.322612 201  16.58492
226 23832 333  23.842999 312  28.95079
227 24040 245  15.015780 212  17.23889
228 24160 618  59.852364 567  64.46552
229 24248 451  37.594946 442  46.87826
230 24304 663  67.196229 657  79.27840
231 24336 463  38.702106 487  53.03526
232 24392 706  75.704685 708  89.66528
233 24432 349  25.568616 301  27.49790
234 24488 359  27.203606 363  35.01321
235 24536 316  21.819879 293  26.71273
236 24560 209  12.255106 225  18.34980
237 25136 526  47.461582 621  72.97189
238 25152 571  52.940098 570  64.68398
239 25456 549  50.118301 494  54.85465
240 25584 391  30.118733 336  31.86280
241 25680 588  54.784152 581  66.02528
242 25944 506  43.422866 437  45.77637
243 26280 382  29.129340 435  45.71220
244 26296 681  69.812538 763  78.41983
245 26408  67   2.475870 138   9.65073
246 26512 726  82.673593 688  84.67753
247 26560  55   1.811999  52   2.62543
248 26760 718  79.962206 692  86.04069
249 26880 792  89.953450 786  89.88658
250 27008 135   6.468319 124   8.23022
251 27112 462  38.661366 427  44.40406
